source_timestamp_ms,received_timestamp_ms,log_timestamp_ms,symbol,price,bid,ask,spread,latency_ms,direction,previous_price
1753273761645,1753273761691,1753273761691,AUDUSD,0.65952,0.65952,0.65952,0.00000,46.000,-1,0.65953
1753273762240,1753273762293,1753273762293,AUDUSD,0.65951,0.65951,0.65951,0.00000,53.000,-1,0.65952
1753273762439,1753273762491,1753273762491,AUDUSD,0.65952,0.65952,0.65952,0.00000,52.000,1,0.65951
1753273766443,1753273766493,1753273766493,AUDUSD,0.65951,0.65951,0.65951,0.00000,50.000,-1,0.65952
1753275314641,1753275314700,1753275314700,AUDUSD,0.65885,0.65885,0.65885,0.00000,59.000,-1,0.65886
1753275315239,1753275315296,1753275315296,AUDUSD,0.65884,0.65884,0.65884,0.00000,57.000,-1,0.65885
1753275319641,1753275319722,1753275319722,AUDUSD,0.65883,0.65883,0.65883,0.00000,81.000,-1,0.65884
1753275319839,1753275319892,1753275319892,AUDUSD,0.65884,0.65884,0.65884,0.00000,53.000,1,0.65883
1753275320244,1753275320297,1753275320297,AUDUSD,0.65883,0.65883,0.65883,0.00000,53.000,-1,0.65884
1753275320634,1753275320675,1753275320675,AUDUSD,0.65882,0.65882,0.65882,0.00000,41.000,-1,0.65883
1753275321246,1753275321298,1753275321298,AUDUSD,0.65880,0.65880,0.65880,0.00000,52.000,-1,0.65882
1753275321641,1753275321736,1753275321736,AUDUSD,0.65881,0.65881,0.65881,0.00000,95.000,1,0.65880
1753275322248,1753275322316,1753275322316,AUDUSD,0.65884,0.65884,0.65884,0.00000,68.000,1,0.65881
1753275322444,1753275322522,1753275322522,AUDUSD,0.65885,0.65885,0.65885,0.00000,78.000,1,0.65884
1753275323242,1753275323315,1753275323315,AUDUSD,0.65886,0.00000,0.65886,0.00000,73.000,1,0.65885
1753275325239,1753275325292,1753275325292,AUDUSD,0.65889,0.65889,0.65890,0.00001,53.000,1,0.65886
1753275329242,1753275329292,1753275329292,AUDUSD,0.65890,0.65890,0.00000,0.00000,50.000,1,0.65889
1753275329635,1753275329681,1753275329681,AUDUSD,0.65889,0.65889,0.65889,0.00000,46.000,-1,0.65890
1753275330243,1753275330293,1753275330293,AUDUSD,0.65890,0.65890,0.65890,0.00000,50.000,1,0.65889
1753275330446,1753275330496,1753275330496,AUDUSD,0.65889,0.65889,0.65889,0.00000,50.000,-1,0.65890
1753275330840,1753275330886,1753275330886,AUDUSD,0.65890,0.65890,0.65890,0.00000,46.000,1,0.65889
1753275331244,1753275331290,1753275331290,AUDUSD,0.65889,0.65889,0.65889,0.00000,46.000,-1,0.65890
1753275332843,1753275332888,1753275332888,AUDUSD,0.65890,0.65890,0.65890,0.00000,45.000,1,0.65889
1753275333447,1753275333492,1753275333492,AUDUSD,0.65889,0.65889,0.65889,0.00000,45.000,-1,0.65890
1753275334239,1753275334283,1753275334283,AUDUSD,0.65890,0.65890,0.65890,0.00000,44.000,1,0.65889
1753275334641,1753275334694,1753275334694,AUDUSD,0.65888,0.65888,0.65888,0.00000,53.000,-1,0.65890
1753275334846,1753275334917,1753275334917,AUDUSD,0.65886,0.65886,0.65886,0.00000,71.000,-1,0.65888
1753275335245,1753275335296,1753275335296,AUDUSD,0.65887,0.00000,0.65887,0.00000,51.000,1,0.65886
1753275881246,1753275881323,1753275881323,AUDUSD,0.65898,0.65898,0.65898,0.00000,77.000,1,0.65897
1753275966250,1753275966299,1753275966299,AUDUSD,0.65867,0.65867,0.65867,0.00000,49.000,1,0.65866
1753275966644,1753275966689,1753275966689,AUDUSD,0.65866,0.65866,0.00000,0.00000,45.000,-1,0.65867
1753275967645,1753275967724,1753275967724,AUDUSD,0.65867,0.65867,0.00000,0.00000,79.000,1,0.65866
1753275968238,1753275968323,1753275968323,AUDUSD,0.65866,0.65866,0.65866,0.00000,85.000,-1,0.65867
1753275968848,1753275968892,1753275968892,AUDUSD,0.65867,0.65867,0.65867,0.00000,44.000,1,0.65866
1753275969241,1753275969332,1753275969332,AUDUSD,0.65866,0.65866,0.65866,0.00000,91.000,-1,0.65867
1753275976239,1753275976287,1753275976287,AUDUSD,0.65867,0.65867,0.65867,0.00000,48.000,1,0.65866
1753275976837,1753275976884,1753275976884,AUDUSD,0.65866,0.65866,0.65866,0.00000,47.000,-1,0.65867
1753275977240,1753275977335,1753275977335,AUDUSD,0.65867,0.00000,0.65867,0.00000,95.000,1,0.65866
1753275978237,1753275978292,1753275978292,AUDUSD,0.65867,0.65867,0.00000,0.00000,55.000,0,0.65867
1753275979237,1753275979284,1753275979284,AUDUSD,0.65868,0.65868,0.65868,0.00000,47.000,1,0.65867
1753275979439,1753275979487,1753275979487,AUDUSD,0.65867,0.65867,0.65867,0.00000,48.000,-1,0.65868
1753275980436,1753275980480,1753275980480,AUDUSD,0.65866,0.65866,0.65866,0.00000,44.000,-1,0.65867
1753275984841,1753275984936,1753275984936,AUDUSD,0.65867,0.65867,0.65867,0.00000,95.000,1,0.65866
1753275988041,1753275988129,1753275988129,AUDUSD,0.65866,0.65866,0.65866,0.00000,88.000,-1,0.65867
1753275991644,1753275991700,1753275991700,AUDUSD,0.65864,0.65864,0.65864,0.00000,56.000,-1,0.65866
1753275992241,1753275992294,1753275992294,AUDUSD,0.65863,0.65863,0.65863,0.00000,53.000,-1,0.65864
1753275992440,1753275992487,1753275992487,AUDUSD,0.65864,0.65864,0.65864,0.00000,47.000,1,0.65863
1753275993239,1753275993288,1753275993288,AUDUSD,0.65863,0.65863,0.00000,0.00000,49.000,-1,0.65864
1753275994041,1753275994087,1753275994087,AUDUSD,0.65864,0.65864,0.00000,0.00000,46.000,1,0.65863
1753275994637,1753275994684,1753275994684,AUDUSD,0.65865,0.00000,0.65865,0.00000,47.000,1,0.65864
1753275995237,1753275995299,1753275995299,AUDUSD,0.65865,0.65865,0.00000,0.00000,62.000,0,0.65865
1753275995645,1753275995693,1753275995693,AUDUSD,0.65863,0.65863,0.65863,0.00000,48.000,-1,0.65865
